pws_area,source_document,requirement_text
9.2 (U) Staffing and Contractor Personnel,Strata Base IDIQ PWS.docx,"The staffing list shall contain the names, job titles, employers, and contact information of all Contractor and Subcontractor personnel assigned to the contract."
9.2.1 (U) Key Personnel,Strata Base IDIQ PWS.docx,"(U) Once the Contractor knows a key personnel employee is leaving and will no longer support the program, the Contractor shall provide written documentation to the Contracting Officer’s Representative (COR) within one (1) business day of the employee advising the Contractor of their intent to leave."
9.2.1 (U) Key Personnel,Strata Base IDIQ PWS.docx,(U) The Contractor shall notify the Government before making any changes to key personnel.
9.2.1 (U) Key Personnel,Strata Base IDIQ PWS.docx,(U) The Contractor shall update the COR concerning changes to non-key personnel assigned to this contract within three (3) business days of departure.
9.2.1 (U) Key Personnel,Strata Base IDIQ PWS.docx,"In the case of a no-notice departure, the Contractor shall immediately inform the COR."
9.2.1 (U) Key Personnel,Strata Base IDIQ PWS.docx,No key position shall remain unfilled for greater than two (2) consecutive months.
9.2.1 (U) Key Personnel,Strata Base IDIQ PWS.docx,"This written notification shall include the date and time the position will be vacant, the anticipated replacement date, and management action, if needed, to ensure tasks and mission remains on schedule toward completion."
9.3.3 (U) Quality Control Plan (QCP) (CDRL A006),Strata Base IDIQ PWS.docx,(U) The Contractor shall establish and maintain a QCP to ensure the contract requirements are provided as specified and ensure performance effectively achieves specific quality requirements addressed in the PRS of each task order and IAW the QASP.
9.3.3 (U) Quality Control Plan (QCP) (CDRL A006),Strata Base IDIQ PWS.docx,(U) The Contractor’s QCP shall demonstrate its prevention-based outlook by meeting the objectives stated in the PWS throughout all areas of performance.
9.3.3 (U) Quality Control Plan (QCP) (CDRL A006),Strata Base IDIQ PWS.docx,Each update shall be submitted to the COR for review and acceptance.
9.3.3 (U) Quality Control Plan (QCP) (CDRL A006),Strata Base IDIQ PWS.docx,The Contractor QCP shall be finalized IAW the discussions and submitted not more than 35 days after contract award.
9.3.3 (U) Quality Control Plan (QCP) (CDRL A006),Strata Base IDIQ PWS.docx,The Contractor shall provide a written QCP IAW this PWS as outlined in the deliverables schedule.
9.3.3 (U) Quality Control Plan (QCP) (CDRL A006),Strata Base IDIQ PWS.docx,The QCP shall be developed to specify the Contractor’s responsibility for management and quality control actions to meet the terms of the contract.
9.3.3 (U) Quality Control Plan (QCP) (CDRL A006),Strata Base IDIQ PWS.docx,The QCP shall be updated as changes occur.
9.3.3 (U) Quality Control Plan (QCP) (CDRL A006),Strata Base IDIQ PWS.docx,The QCP shall describe the inspection system for the requested services.
9.3.3 (U) Quality Control Plan (QCP) (CDRL A006),Strata Base IDIQ PWS.docx,"The QCP shall, at a minimum, address:"
9.3.3 (U) Quality Control Plan (QCP) (CDRL A006),Strata Base IDIQ PWS.docx,This relationship shall be achieved through an effective QCP dedicated to ensuring the best possible products and services to end users.
9.3.4 (U) Contractor Discrepancy Report (CDR) Response,Strata Base IDIQ PWS.docx,"(U) If the Contractor receives a CDR, the Contractor shall develop and deliver a Corrective Action Plan in the manner and within the time frame specified by the Government, specifying how and by what date it shall bring performance up to the required levels."
9.3.4 (U) Contractor Discrepancy Report (CDR) Response,Strata Base IDIQ PWS.docx,"The Contractor shall reply in writing within five (5) business days from the date of receipt of the CDR, giving the reasons for the unsatisfactory performance, corrective action taken, and procedures to preclude recurrence."
9.4.1 (U) Program Management Plan (PmP) (CDRL A007),Strata Base IDIQ PWS.docx,"(U) Recurring meetings shall be documented with minutes, action items, risk items, and other required documentation."
9.4.1 (U) Program Management Plan (PmP) (CDRL A007),Strata Base IDIQ PWS.docx,(U) The Contractor shall develop and maintain a PmP for effective program management.
9.4.1 (U) Program Management Plan (PmP) (CDRL A007),Strata Base IDIQ PWS.docx,"The Contractor’s PmP shall be maintained and updated to reflect changes during program execution, subject to Government approval."
9.4.1 (U) Program Management Plan (PmP) (CDRL A007),Strata Base IDIQ PWS.docx,"The PmP shall describe the management and oversight of all activities performed by the Contractor personnel, including subcontractors, to satisfy the requirements identified in this PWS and all task orders."
9.4.1 (U) Program Management Plan (PmP) (CDRL A007),Strata Base IDIQ PWS.docx,"The PmP shall describe the proposed management approach, including the management structure, process narratives, schedule/milestone management, reoccurring meetings, tasks and subtasks, a Risk Management Plan/Process, a Configuration Management Plan, Communications Plan, a Security/Continuous Monitoring Plan, a Contract Work Breakdown Structure (CWBS), and a Subcontractor Management Plan."
9.4.1 (U) Program Management Plan (PmP) (CDRL A007),Strata Base IDIQ PWS.docx,The PmP shall include associated responsibilities and partnerships with other organizations.
9.4.2 (U) Integrated Master Schedule (IMS) (CDRL A008),Strata Base IDIQ PWS.docx,(U) The Contractor shall provide an IMS.
9.4.2 (U) Integrated Master Schedule (IMS) (CDRL A008),Strata Base IDIQ PWS.docx,The IMS shall include activities/milestones across all task orders.
9.4.3 (U) Agile Development Management Plan (ADMP) (CDRL A009),Strata Base IDIQ PWS.docx,(U) The Contractor shall include approaches in its ADMP demonstrating continuous improvement throughout the system lifecycle.
9.4.3 (U) Agile Development Management Plan (ADMP) (CDRL A009),Strata Base IDIQ PWS.docx,"At a minimum, the ADMP shall address the following:"
9.4.3 (U) Agile Development Management Plan (ADMP) (CDRL A009),Strata Base IDIQ PWS.docx,The ADMP shall be updated annually after the contract award.
9.4.5 (U) Program Management Reviews (PMRs) (CDRL A011),Strata Base IDIQ PWS.docx,"(U) The Contractor shall conduct a monthly PMR with the CO, COR and other Government stakeholder personnel to discuss and review the Contractor's performance, schedule, financials, staffing, risk, deliverables, and CDRL status relevant to the reporting period for all task orders."
9.4.5 (U) Program Management Reviews (PMRs) (CDRL A011),Strata Base IDIQ PWS.docx,Appropriate action shall be taken to resolve outstanding Contractor performance issues identified by the Government.
9.4.5 (U) Program Management Reviews (PMRs) (CDRL A011),Strata Base IDIQ PWS.docx,Potential opportunities shall also be highlighted.
9.4.5 (U) Program Management Reviews (PMRs) (CDRL A011),Strata Base IDIQ PWS.docx,"Risks to successful, timely completion of the contracted effort, including the likelihood of occurrence, impact on overall schedule, performance, and recommended/planned risk mitigation, shall be identified."
9.4.5 (U) Program Management Reviews (PMRs) (CDRL A011),Strata Base IDIQ PWS.docx,"The Contractor shall notify the Government of problems, issues, concerns, or needed support, if any, being experienced."
9.4.5 (U) Program Management Reviews (PMRs) (CDRL A011),Strata Base IDIQ PWS.docx,These meetings shall be at no additional cost to the Government.
9.4.6 (U) Payment Reports (CDRL A012),Strata Base IDIQ PWS.docx,"(U) The contractor shall submit a Payment Report specific to CLIN(s) X002, X004, X005, X008 and X009 development that will tie the monthly invoice charge by CLIN to the individual developed asset."
9.4.6 (U) Payment Reports (CDRL A012),Strata Base IDIQ PWS.docx,"The report shall be provided using Microsoft Excel and contain two tabs: 1) Breakout for current invoice per application, per release; 2) Cumulative totals per application, per release along with associated invoice numbers."
9.4.7 (U) Weekly Activity Report (WAR) (CDRL A013),Strata Base IDIQ PWS.docx,"(U) The Contractor shall provide a WAR identifying accomplishments, issues, roadblocks, engagements, upcoming activities, and other items of interest for all task orders."
9.4.7 (U) Weekly Activity Report (WAR) (CDRL A013),Strata Base IDIQ PWS.docx,The Contractor shall highlight all impediments that require Government assistance during the WAR.
9.4.7 (U) Weekly Activity Report (WAR) (CDRL A013),Strata Base IDIQ PWS.docx,The WAR shall minimally provide the following:
9.4.8 (U) Post Award Conference,Strata Base IDIQ PWS.docx,(U) The Contractor shall attend any post-award conference convened by the contracting activity or contract administration office IAW Federal Acquisition Regulation (FAR) Subpart 42.5.
9.4.9 (U) Contract Closeout Report (CCR) (CDRL A014),Strata Base IDIQ PWS.docx,(U) The Contractor shall submit a CCR at the end of the last option year IAW the timeline directed by the Government.
9.4.9 (U) Contract Closeout Report (CCR) (CDRL A014),Strata Base IDIQ PWS.docx,"(U) Upon expiration of this contract, the Contractor shall provide the Government with a CCR which, at a minimum, shall include all up-to-date critical information needed to sustain operations, the final status of all capabilities, location and inventory of files and documentation, the status of contract funds and final invoice, disposition of GFE/GFP, the names of personnel who worked on the contract, and written confirmation that they have been read off the program IAW NGA security policy."
